id,adj,label,sentence_orig,_sentence_punct_fixed,has_error,multi_that,so_idx,adj_idx,that_idx
3,amazed,CxType.aap_causal,Marie is (so) amazed that he came up with that so quickly .,Marie is so amazed that he came up with that so quickly.,False,True,2,3,4
6,annoyed,CxType.cec,The man was so annoyed that he slept hungry and the next morning he chewed so much of a plant that he took on Shaman powers .,The man was so annoyed that he slept hungry and the next morning he chewed so much of a plant that he took on Shaman powers.,False,True,3,4,5
19,concerned,CxType.eap_noncausal,He was (so) concerned that there were provisions in the bill that were open to abuse .,He was so concerned that there were provisions in the bill that were open to abuse.,False,True,2,3,4
30,despondent,CxType.cec,"On the second occasion , Li informed him of Emperor Wu 's passing , and Su was so despondent that in mourning that he vomited blood .","On the second occasion, Li informed him of Emperor Wu's passing, and Su was so despondent that in mourning that he vomited blood.",False,True,14,15,16
69,guilty,CxType.aap_causal,"Susan feels so guilty that Mike fell asleep at the reception due to all the night jobs he has done for her plans , so she asks the reverend if he has time later that night .","Susan feels so guilty that Mike fell asleep at the reception due to all the night jobs he has done for her plans, so she asks the reverend if he has time later that night.",False,True,2,3,4
72,honored,CxType.cec,"For example , Zhu Youliang ( ) the Prince of Heng , an older cousin of the emperor 's , was so honored at court at that time that even Li Yu 's superior , the chief of staff Li Zhen , kneeled to him .","For example, Zhu Youliang () the Prince of Heng, an older cousin of the emperor's, was so honored at court at that time that even Li Yu's superior, the chief of staff Li Zhen, kneeled to him.",False,True,16,17,21
76,impressed,CxType.cec,He was so impressed that he started a craze for the test that has never diminished .,He was so impressed that he started a craze for the test that has never diminished.,False,True,2,3,4
78,indebted,CxType.cec,He was so indebted that he sold his Irish estates and used that money to invest in South Sea Company stock .,He was so indebted that he sold his Irish estates and used that money to invest in South Sea Company stock.,False,True,2,3,4
84,irate,CxType.cec,"When he nevertheless published a second edition in 1794 , the censor was so irate that he arranged for a royal order that required Kant never to publish or even speak publicly about religion .","When he nevertheless published a second edition in 1794, the censor was so irate that he arranged for a royal order that required Kant never to publish or even speak publicly about religion.",False,True,12,13,14
87,jealous,CxType.aap_causal,Karen tells her that she felt (so) jealous that Ivy had the role and that she did great .,Karen tells her that she felt so jealous that Ivy had the role and that she did great.,False,True,6,7,8
104,resentful,CxType.cec,The Australian government was so resentful of this case that it insisted that none of its troops would be tried by the British military during World War I.,The Australian government was so resentful of this case that it insisted that none of its troops would be tried by the British military during World War I.,False,True,4,5,9
115,strong,CxType.eap_noncausal,"Evidence is (so) strong that the Spanish Crown reclaimed the property after the British exited Florida in 1783 , and that it was sold by auction in 1791 .","Evidence is so strong that the Spanish Crown reclaimed the property after the British exited Florida in 1783, and that it was sold by auction in 1791.",False,True,2,3,4
122,thankful,CxType.cec,Li shiji was so thankful that he wept and bit his finger so hard that he bled .,Li shiji was so thankful that he wept and bit his finger so hard that he bled.,False,True,3,4,5
138,Celticized,CxType.oce,By the 4th century BC the Veneti had been so Celticized that Polybius wrote that the Veneti of the 2nd century BC were identical to the Gauls except for language .,By the 4th century BC the Veneti had been so Celticized that Polybius wrote that the Veneti of the 2nd century BC were identical to the Gauls except for language.,False,True,9,10,11
154,active,CxType.oce,Trump was so active in Jewish and Israeli causes that some believed that he belonged to the Jewish faith .,Trump was so active in Jewish and Israeli causes that some believed that he belonged to the Jewish faith.,False,True,2,3,9
155,adaptable,CxType.oce,"Capablanca also wrote that Lasker was so adaptable that he played in no definite style , and that he was both a tenacious defender and a very efficient finisher of his own attacks .","Capablanca also wrote that Lasker was so adaptable that he played in no definite style, and that he was both a tenacious defender and a very efficient finisher of his own attacks.",False,True,6,7,8
172,amateurish,CxType.oce,"Kujau also began forging a series of war poems by Hitler , which were so amateurish that Kujau later admitted that "" a fourteen - year - old collector would have recognized it as a forgery "" .","Kujau also began forging a series of war poems by Hitler, which were so amateurish that Kujau later admitted that ""a fourteen-year-old collector would have recognized it as a forgery"".",False,True,13,14,15
174,ambiguous,CxType.oce,"Some programs were so ambiguous that Elmore wrote that "" most program developers were simply not clear what their programs would actually look like in a fully operational form "" .","Some programs were so ambiguous that Elmore wrote that ""most program developers were simply not clear what their programs would actually look like in a fully operational form"".",False,True,3,4,5
183,appealing,CxType.oce,This model became so appealing that pure software vendors such as Stonesoft or CheckPoint Software began shipping pre - built operating systems with their security applications after a long history of selling software that had to be installed on existing customer hardware and customer operating systems .,This model became so appealing that pure software vendors such as Stonesoft or CheckPoint Software began shipping pre-built operating systems with their security applications after a long history of selling software that had to be installed on existing customer hardware and customer operating systems.,False,True,3,4,5
223,bleak,CxType.oce,"The outlook for Swiss Roman Catholics during the "" Kulturkampf "" was so bleak that the ancient Abbeys of Einsiedeln and Engelberg began a program of establishing new monasteries in the United States , so that the remaining Swiss monasteries would have a refuge if they were all exiled .","The outlook for Swiss Roman Catholics during the ""Kulturkampf"" was so bleak that the ancient Abbeys of Einsiedeln and Engelberg began a program of establishing new monasteries in the United States, so that the remaining Swiss monasteries would have a refuge if they were all exiled.",False,True,10,11,12
239,adamant,CxType.eap_noncausal,"Summer is so adamant that she will not have a fling with her boss , but the chemistry between them is so strong that she gives in .","Summer is so adamant that she will not have a fling with her boss, but the chemistry between them is so strong that she gives in.",False,True,2,3,4
248,astounded,CxType.cec,"When I first read the first chapter , I was so astounded that I stood up , and read that chapter standing up !","When I first read the first chapter, I was so astounded that I stood up, and read that chapter standing up!",False,True,9,10,11
252,awed,CxType.aap_causal,"I am so awed that what I felt about the love story outweighed the negative aspects and made me so emotionally invested that I had to finish , had to know if they got to their happily ever after .","I am so awed that what I felt about the love story outweighed the negative aspects and made me so emotionally invested that I had to finish, had to know if they got to their happily ever after.",False,True,2,3,4
290,irritated,CxType.aap_causal,"I was always so irritated that all the characters in GW were boring "" humans "" as I play fantasy games to see strange and beautiful things that do n't exist in reality .","I was always so irritated that all the characters in GW were boring ""humans"" as I play fantasy games to see strange and beautiful things that don't exist in reality.",False,True,3,4,5
300,offended,CxType.aap_causal,Instead I was so offended that Riley thought so little of clues fans that he barely attempted to keep their beloved characters the same .,Instead I was so offended that Riley thought so little of clues fans that he barely attempted to keep their beloved characters the same.,False,True,3,4,5
